"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"3097",2,3,1,0,11,20,4,4,15,12,3,5,0,2,0,0,1,0,0
"3098",1,3,1,1,13,18,5,4,15,9,2,7,2,4,0,0,1,0,0
"3099",0,3,0,1,13,18,1,9,9,14,6,2,5,2,0,0,1,0,0
"3100",2,0,1,0,13,12,4,3,11,15,7,6,1,3,0,0,0,0,1
"3101",1,1,1,0,13,10,3,2,16,11,10,9,5,4,0,0,0,1,0
"3102",0,2,0,0,8,22,3,9,13,15,5,7,2,2,0,0,1,0,0
"3103",1,1,0,1,7,17,2,7,7,13,6,5,1,3,0,0,0,1,0
"3104",1,2,1,0,8,18,3,6,11,9,3,10,2,2,0,0,1,0,0
"3105",2,2,0,1,17,11,7,2,17,12,4,5,3,4,0,0,0,1,0
"3106",1,1,0,0,19,9,2,3,13,12,4,5,2,3,0,0,0,1,0
"3107",0,1,0,0,10,18,1,3,2,3,2,6,0,0,0,0,1,0,0
"3108",0,0,0,0,9,11,1,5,9,9,3,6,1,0,0,0,0,1,0
"3109",1,1,0,0,24,7,9,6,14,9,13,2,3,0,0,0,0,1,0
"3110",2,0,2,0,13,12,7,6,20,10,4,3,2,2,0,0,0,0,1
"3111",3,2,2,1,16,13,6,6,7,10,5,6,0,1,1,0,0,0,1
"3112",6,1,3,1,22,11,10,4,8,14,5,4,0,3,0,0,0,0,1
"3113",3,0,2,0,16,5,6,0,6,12,8,5,1,1,0,0,0,0,1
"3114",0,1,0,1,12,12,3,4,12,13,7,6,1,3,0,1,1,0,0
"3115",1,1,0,0,19,3,8,2,7,9,13,1,0,2,0,0,0,1,0
"3116",2,0,2,0,18,11,6,1,10,13,6,4,1,1,0,0,0,0,1
"3117",1,1,0,0,8,20,4,8,14,10,5,8,2,2,0,0,0,1,0
"3118",0,1,0,0,10,4,3,2,15,10,4,6,4,1,0,0,1,0,0
"3119",3,1,0,0,34,6,14,1,11,10,8,4,1,2,0,0,0,0,1
"3120",0,0,0,0,9,7,3,1,14,20,3,1,0,4,0,0,0,1,0
"3121",0,0,0,0,9,11,5,4,6,13,8,3,1,0,0,0,0,1,0
"3122",0,0,0,0,8,16,1,4,10,15,7,4,2,4,0,0,0,1,0
"3123",2,1,1,0,9,20,3,8,16,15,2,8,2,3,0,0,0,0,1
"3124",0,2,0,1,9,12,2,6,16,8,5,7,2,3,0,0,1,0,0
"3125",3,1,1,0,17,23,4,7,10,8,8,8,0,0,0,0,0,0,1
"3126",2,1,2,0,21,6,7,1,9,13,3,2,1,3,0,0,0,0,1
"3127",0,0,0,0,11,10,5,2,15,16,7,2,2,1,0,0,0,1,0
"3128",1,0,0,0,20,10,3,2,10,13,6,2,2,5,0,0,0,0,1
"3129",4,0,2,0,14,16,6,5,7,17,5,7,3,2,0,0,0,0,1
"3130",1,1,0,1,14,6,3,2,11,10,10,3,3,3,0,0,0,1,0
"3131",2,4,2,3,7,17,6,10,15,5,3,3,1,2,0,0,1,0,0
"3132",0,0,0,0,37,7,11,1,12,9,19,1,1,3,1,0,0,1,0
"3133",2,0,1,0,10,15,3,3,3,5,4,7,1,1,0,0,0,0,1
"3134",1,4,0,1,3,21,1,7,9,13,0,8,4,3,0,0,1,0,0
"3135",1,1,1,0,22,6,5,1,11,20,8,1,3,4,0,0,0,1,0
"3136",1,0,0,0,22,8,0,2,13,8,7,2,1,2,0,0,0,0,1
"3137",0,4,0,2,9,21,1,8,17,10,1,7,4,3,0,0,1,0,0
"3138",2,0,0,0,17,13,6,3,15,12,8,8,2,3,0,0,0,0,1
"3139",0,2,0,1,9,13,1,7,13,16,7,3,0,0,0,0,1,0,0
"3140",3,1,1,1,17,14,4,6,7,14,6,4,2,0,0,0,0,0,1
"3141",1,2,1,1,22,9,7,4,14,17,12,2,3,2,0,1,1,0,0
"3142",3,2,2,0,14,16,7,5,11,12,4,7,1,2,0,0,0,0,1
"3143",5,0,3,0,21,1,9,0,5,16,4,2,0,3,0,0,0,0,1
"3144",1,1,1,0,25,5,7,3,7,15,8,2,1,3,0,0,0,1,0
"3145",1,1,0,0,9,12,2,4,11,10,6,4,4,1,0,0,0,1,0
"3146",1,1,1,0,15,10,2,3,11,17,7,2,1,2,0,0,0,1,0
"3147",2,1,0,1,6,19,2,7,13,15,1,10,0,5,0,0,0,0,1
"3148",1,2,0,0,5,11,2,5,8,8,5,6,0,2,0,0,1,0,0
