"","FTHG","FTAG","HTHG","HTAG","HS","AS","HST","AST","HF","AF","HC","AC","HY","AY","HR","AR","L","D","W"
"1",1,0,1,0,24,5,14,4,11,8,7,5,0,0,0,0,0,0,1
"2",3,1,3,0,14,8,8,2,13,12,4,3,1,2,0,0,0,0,1
"3",2,3,1,1,10,15,5,11,11,9,3,5,2,2,0,0,1,0,0
"4",2,1,1,1,11,12,6,6,10,9,5,6,3,0,0,0,0,0,1
"5",2,1,0,0,14,8,10,5,11,12,7,9,1,2,0,0,0,0,1
"6",0,1,0,0,6,14,3,8,13,12,1,8,0,2,0,0,1,0,0
"7",2,1,2,0,15,22,8,9,14,11,6,10,2,1,0,0,0,0,1
"8",4,2,0,0,14,13,10,8,8,11,7,8,0,1,0,0,0,0,1
"9",4,0,3,0,18,12,11,8,10,6,8,3,0,1,0,0,0,0,1
"10",1,1,1,1,18,11,12,4,15,11,6,6,3,0,0,0,0,1,0
"11",1,1,1,1,12,7,5,4,11,15,6,3,0,1,0,0,0,1,0
"12",1,0,1,0,5,15,2,6,14,6,1,5,2,0,0,0,0,0,1
"13",2,1,0,0,16,9,8,4,10,12,14,3,2,1,0,0,0,0,1
"14",1,0,0,0,10,9,8,4,8,13,4,6,1,2,0,0,0,0,1
"15",3,2,1,0,8,5,2,2,15,5,2,8,1,0,0,0,0,0,1
"16",1,2,0,0,18,12,11,7,12,12,12,6,1,2,0,0,1,0,0
"17",1,2,0,0,14,9,4,7,11,14,11,5,3,1,0,0,1,0,0
"18",3,0,0,0,14,3,9,0,12,16,6,3,0,2,0,1,0,0,1
"19",0,1,0,1,10,7,6,3,13,17,7,7,1,2,0,0,1,0,0
"20",0,1,0,1,13,12,6,7,11,11,4,3,2,2,0,0,1,0,0
"21",3,0,2,0,20,4,14,2,12,11,12,1,2,2,0,0,0,0,1
"22",0,0,0,0,18,12,9,7,18,16,7,5,2,2,0,0,0,1,0
"23",0,3,0,2,16,6,7,5,5,11,4,3,1,0,0,0,1,0,0
"24",0,5,0,2,10,8,5,5,18,12,7,3,1,0,0,0,1,0,0
"25",2,1,1,0,21,7,12,2,14,18,4,5,2,4,0,1,0,0,1
"26",4,1,2,1,11,12,6,7,14,21,10,4,1,5,0,0,0,0,1
"27",0,0,0,0,5,8,2,3,9,13,5,8,0,2,0,0,0,1,0
"28",1,1,1,1,12,6,3,6,10,13,5,8,3,0,0,0,0,1,0
"29",0,3,0,1,10,9,4,8,20,11,3,3,4,2,0,0,1,0,0
"30",0,4,0,2,10,17,3,10,8,8,5,5,1,1,0,0,1,0,0
"31",2,1,2,0,20,8,13,7,15,11,12,6,1,1,0,0,0,0,1
"32",2,1,1,1,16,7,11,3,10,18,5,4,0,3,0,1,0,0,1
"33",1,3,1,1,13,18,7,8,14,10,8,5,0,1,0,1,1,0,0
"34",1,2,0,1,13,8,4,4,13,17,5,3,0,2,1,0,1,0,0
"35",2,1,0,1,21,7,12,3,8,6,3,2,2,1,0,0,0,0,1
"36",3,2,2,2,13,21,8,13,9,18,8,8,1,1,0,0,0,0,1
"37",1,1,0,1,12,6,8,5,10,9,8,6,1,1,1,0,0,1,0
"38",2,3,0,1,12,8,7,5,10,19,7,8,2,1,0,0,1,0,0
"39",1,2,0,1,17,17,10,13,15,12,12,8,1,4,0,0,1,0,0
"40",1,0,0,0,11,11,4,5,13,11,4,3,2,0,0,0,0,0,1
"41",1,3,1,2,12,20,8,9,12,10,7,17,2,2,0,0,1,0,0
"42",0,0,0,0,27,3,11,2,8,10,20,3,1,1,0,0,0,1,0
"43",2,0,0,0,17,14,11,11,9,16,8,7,2,3,0,0,0,0,1
"44",3,1,2,0,12,11,6,8,8,21,2,6,1,2,0,0,0,0,1
"45",1,1,0,1,20,13,13,8,15,18,7,4,1,7,0,0,0,1,0
"46",2,2,1,0,9,17,5,8,11,12,4,6,0,1,0,0,0,1,0
"47",6,0,2,0,14,10,10,4,13,14,8,5,0,1,0,0,0,0,1
"48",0,0,0,0,11,14,4,6,13,12,3,4,2,2,0,0,0,1,0
"49",1,2,1,2,10,10,6,5,22,16,5,6,3,3,0,0,1,0,0
"50",1,2,0,0,18,7,9,5,8,7,15,4,2,1,0,0,1,0,0
"51",2,1,2,1,12,9,8,3,8,9,5,5,1,1,0,0,0,0,1
"52",0,2,0,0,4,11,2,6,17,20,7,4,3,3,1,0,1,0,0
"53",1,2,0,2,18,16,6,10,15,13,2,4,4,1,1,0,1,0,0
"54",2,0,0,0,31,10,24,5,8,10,16,4,0,3,0,0,0,0,1
"55",0,1,0,0,22,14,13,9,14,13,11,8,2,4,0,0,1,0,0
"56",1,2,0,2,4,9,2,8,6,19,5,5,0,4,0,0,1,0,0
"57",0,2,0,1,5,14,2,9,9,6,5,5,2,1,0,0,1,0,0
"58",2,0,1,0,8,15,6,8,18,13,3,6,4,3,1,0,0,0,1
"59",2,1,2,1,9,11,4,6,12,21,5,3,3,4,0,0,0,0,1
"60",0,2,0,1,6,18,3,9,11,8,3,4,2,1,0,0,1,0,0
"61",1,1,0,0,8,13,5,7,10,11,1,7,3,5,0,0,0,1,0
"62",1,0,0,0,13,14,8,5,10,13,8,6,2,1,0,0,0,0,1
"63",0,1,0,0,21,6,9,2,10,13,8,2,3,0,0,0,1,0,0
"64",2,0,2,0,27,8,15,3,11,13,7,1,0,3,0,0,0,0,1
"65",2,2,2,1,13,11,5,9,18,15,3,5,1,3,0,0,0,1,0
"66",2,3,2,0,7,14,5,7,11,12,1,7,1,1,1,0,1,0,0
"67",2,1,1,0,17,8,11,5,7,15,2,5,0,3,0,0,0,0,1
"68",0,1,0,1,27,10,16,6,15,15,12,0,4,2,0,0,1,0,0
"69",1,3,0,2,13,12,5,6,15,8,7,7,4,3,0,0,1,0,0
"70",3,1,0,1,22,7,14,3,8,13,7,4,2,4,0,0,0,0,1
"71",0,0,0,0,10,8,3,3,18,19,11,2,1,3,0,1,0,1,0
"72",0,0,0,0,10,8,4,1,16,12,11,8,1,3,0,0,0,1,0
"73",0,0,0,0,13,14,9,7,12,8,8,5,1,1,0,0,0,1,0
"74",3,2,1,2,17,7,7,4,10,13,5,2,1,1,0,1,0,0,1
"75",4,0,0,0,18,6,14,2,11,14,15,1,0,1,0,0,0,0,1
"76",0,5,0,1,7,21,4,14,13,9,5,7,2,0,0,0,1,0,0
"77",1,0,0,0,12,14,4,5,11,11,3,5,2,1,0,0,0,0,1
"78",2,1,1,1,7,11,3,6,12,12,6,1,1,2,0,2,0,0,1
"79",2,2,1,1,6,20,2,8,15,15,5,10,0,2,1,0,0,1,0
"80",1,1,0,0,13,5,5,2,17,11,9,2,3,1,0,0,0,1,0
"81",1,1,0,1,13,18,9,14,17,11,5,9,3,3,0,0,0,1,0
"82",2,1,1,1,14,10,3,5,11,11,2,4,1,2,0,0,0,0,1
"83",0,3,0,0,24,16,16,10,12,13,14,5,1,2,0,0,1,0,0
"84",0,1,0,1,14,8,5,3,17,13,4,2,3,3,0,0,1,0,0
"85",3,0,1,0,18,9,12,6,12,16,6,8,1,0,0,0,0,0,1
"86",1,1,0,0,21,9,12,5,7,7,8,6,0,0,0,0,0,1,0
"87",2,0,1,0,19,10,9,3,9,16,3,4,0,3,0,1,0,0,1
"88",0,2,0,0,7,20,3,10,13,9,4,9,2,3,1,0,1,0,0
"89",0,4,0,1,17,9,5,7,14,8,9,4,1,2,0,0,1,0,0
"90",2,1,2,0,10,14,5,4,13,11,7,8,0,4,0,0,0,0,1
"91",4,4,1,1,20,9,12,6,8,17,9,1,1,4,0,0,0,1,0
"92",3,2,1,1,8,11,4,5,5,17,4,5,0,1,0,0,0,0,1
"93",0,1,0,0,18,11,12,7,17,12,5,3,1,2,0,0,1,0,0
"94",2,0,1,0,7,5,2,2,9,14,2,2,0,2,0,0,0,0,1
"95",0,3,0,1,10,27,5,11,11,13,5,5,0,2,0,0,1,0,0
"96",1,0,0,0,21,4,10,1,13,12,7,1,0,3,0,0,0,0,1
"97",2,0,2,0,21,4,12,1,10,9,3,1,1,2,0,0,0,0,1
"98",2,0,0,0,5,13,3,8,10,15,3,3,1,3,0,0,0,0,1
"99",1,0,0,0,9,9,6,4,10,8,4,4,2,1,0,0,0,0,1
"100",5,0,3,0,17,1,11,0,5,11,4,0,0,1,0,0,0,0,1
"101",1,0,0,0,9,15,4,5,11,15,6,5,0,0,0,0,0,0,1
"102",4,3,3,1,20,11,11,7,12,13,9,1,2,2,0,0,0,0,1
"103",1,1,0,1,11,13,7,8,10,14,5,4,3,4,0,0,0,1,0
"104",1,2,0,1,16,12,8,8,9,11,9,6,0,3,0,0,1,0,0
"105",2,1,1,0,7,13,5,6,11,7,3,5,4,2,0,1,0,0,1
"106",2,1,0,1,8,14,4,6,18,13,4,4,1,2,0,0,0,0,1
"107",2,2,0,1,15,9,8,5,13,18,2,3,3,2,0,1,0,1,0
"108",2,0,0,0,20,11,12,6,15,20,6,1,1,1,0,0,0,0,1
"109",2,0,0,0,11,6,7,1,13,21,2,6,4,3,0,0,0,0,1
"110",2,1,1,0,11,17,7,9,16,7,5,6,3,2,0,0,0,0,1
"111",0,1,0,0,16,10,11,6,15,10,6,7,1,2,0,0,1,0,0
"112",3,0,2,0,11,4,10,2,10,8,3,7,2,1,0,0,0,0,1
"113",1,2,1,0,9,10,6,5,8,10,8,3,2,1,0,0,1,0,0
"114",1,3,0,0,15,12,13,7,9,10,9,4,1,1,0,0,1,0,0
"115",0,0,0,0,22,2,14,1,10,12,6,3,1,3,0,0,0,1,0
"116",1,2,1,1,14,15,9,8,13,5,7,4,2,2,0,0,1,0,0
"117",0,2,0,1,8,18,3,13,14,11,5,9,2,1,0,0,1,0,0
"118",2,1,1,0,11,13,6,7,13,11,6,1,2,2,0,0,0,0,1
"119",1,2,1,1,9,14,7,9,12,13,4,5,1,2,2,1,1,0,0
"120",0,2,0,0,11,9,8,6,9,22,8,5,2,4,0,0,1,0,0
"121",1,2,1,0,16,10,8,6,9,9,11,9,3,4,0,0,1,0,0
"122",0,2,0,1,15,15,9,6,7,7,7,3,1,1,0,0,1,0,0
"123",2,1,1,0,16,7,14,3,2,10,10,3,1,0,0,0,0,0,1
"124",5,0,2,0,21,3,15,1,5,15,3,0,1,2,0,0,0,0,1
"125",2,2,0,1,17,12,9,7,9,12,4,10,1,3,0,1,0,1,0
"126",0,3,0,3,13,15,3,9,7,10,3,10,0,3,0,0,1,0,0
"127",0,0,0,0,11,11,5,7,6,11,8,7,0,1,0,0,0,1,0
"128",1,1,0,1,15,11,7,3,11,13,11,1,0,2,0,0,0,1,0
"129",2,2,1,2,11,12,6,8,15,16,3,6,2,3,0,0,0,1,0
"130",0,0,0,0,10,12,7,7,12,15,3,6,1,0,0,0,0,1,0
"131",0,0,0,0,25,2,14,0,12,13,8,1,0,2,0,0,0,1,0
"132",0,0,0,0,18,6,7,6,7,6,9,3,0,0,0,0,0,1,0
"133",3,0,1,0,12,11,8,5,16,9,3,3,0,1,0,0,0,0,1
"134",1,3,0,2,18,11,5,5,10,15,8,0,2,5,0,0,1,0,0
"135",2,2,1,0,14,13,7,6,13,13,7,7,2,1,0,0,0,1,0
"136",1,0,0,0,9,8,7,2,9,7,4,1,1,0,0,0,0,0,1
"137",0,1,0,1,17,10,6,5,13,16,4,2,2,1,0,0,1,0,0
"138",1,0,1,0,16,9,7,6,15,15,6,6,2,3,0,1,0,0,1
"139",1,0,0,0,12,7,6,2,8,7,3,3,0,0,0,0,0,0,1
"140",0,0,0,0,12,5,4,2,9,16,11,4,0,2,0,0,0,1,0
"141",0,0,0,0,14,10,7,5,9,7,7,2,1,1,0,0,0,1,0
"142",1,1,0,1,10,6,5,5,17,20,5,3,2,3,0,0,0,1,0
"143",1,4,1,3,14,11,9,6,9,6,5,6,4,0,0,0,1,0,0
"144",2,1,0,0,17,17,9,9,10,7,6,8,0,2,0,0,0,0,1
"145",1,2,1,0,12,9,5,6,18,16,3,2,2,0,0,0,1,0,0
"146",0,1,0,1,10,12,1,8,17,15,3,8,2,5,0,1,1,0,0
"147",3,2,0,0,9,10,6,2,5,12,8,10,0,1,0,0,0,0,1
"148",0,1,0,0,14,8,6,6,9,16,5,1,1,3,0,0,1,0,0
"149",0,0,0,0,21,7,8,3,5,7,17,5,1,1,0,0,0,1,0
"150",1,0,1,0,11,10,4,4,13,13,8,3,1,2,0,0,0,0,1
"151",1,3,0,0,7,10,3,6,11,9,5,6,2,2,0,0,1,0,0
"152",0,2,0,2,21,11,11,7,14,16,10,2,2,1,0,0,1,0,0
"153",1,1,1,1,12,15,8,7,6,5,9,7,2,1,0,0,0,1,0
"154",2,1,0,0,17,9,7,7,10,8,8,6,1,1,0,1,0,0,1
"155",1,0,0,0,27,2,15,2,8,8,10,1,1,0,0,0,0,0,1
"156",2,2,2,0,9,12,6,4,10,17,6,3,0,1,0,0,0,1,0
"157",2,3,1,1,12,5,7,5,18,16,10,6,2,1,0,0,1,0,0
"158",1,1,1,0,14,6,8,3,11,12,3,5,1,2,0,0,0,1,0
"159",0,2,0,0,11,17,4,12,13,16,7,5,2,0,0,0,1,0,0
"160",4,2,2,1,16,9,7,5,7,16,10,3,0,1,0,0,0,0,1
"161",2,2,2,2,22,9,10,3,12,8,8,4,3,3,0,0,0,1,0
"162",0,1,0,0,7,11,4,4,10,7,5,7,0,1,0,0,1,0,0
"163",1,1,1,1,8,17,3,11,8,11,5,10,0,1,0,0,0,1,0
"164",0,0,0,0,6,9,2,6,16,2,5,6,1,1,0,0,0,1,0
"165",4,0,3,0,16,14,10,6,8,14,1,11,1,2,0,0,0,0,1
"166",0,0,0,0,11,15,6,12,10,9,4,14,1,1,0,0,0,1,0
"167",3,0,2,0,10,11,5,4,9,14,6,9,1,1,0,0,0,0,1
"168",1,1,0,1,19,4,12,2,13,20,9,4,3,2,0,0,0,1,0
"169",0,3,0,0,18,10,6,5,15,5,8,5,4,1,0,0,1,0,0
"170",3,0,3,0,10,14,9,4,13,11,3,7,0,2,0,0,0,0,1
"171",2,1,2,1,19,8,10,5,14,16,6,3,1,1,0,0,0,0,1
"172",3,0,1,0,19,12,13,5,12,7,6,4,0,2,0,0,0,0,1
"173",1,4,1,1,14,15,8,6,20,10,6,6,3,1,1,0,1,0,0
"174",0,1,0,0,17,10,13,4,7,10,7,6,2,1,0,0,1,0,0
"175",1,1,1,1,6,10,3,6,14,17,2,1,3,3,1,0,0,1,0
"176",2,1,1,1,7,11,4,6,9,7,4,7,3,2,0,0,0,0,1
"177",2,1,0,0,12,11,7,7,10,9,5,7,2,1,0,0,0,0,1
"178",0,0,0,0,10,6,8,2,16,12,6,5,0,3,0,1,0,1,0
"179",2,2,0,1,13,8,9,6,10,10,7,6,4,4,0,0,0,1,0
"180",2,0,2,0,23,6,15,2,7,7,7,5,1,0,0,0,0,0,1
"181",3,0,1,0,18,4,8,2,7,12,16,3,1,3,0,0,0,0,1
"182",5,1,4,0,23,15,16,11,15,14,8,10,0,4,0,0,0,0,1
"183",0,1,0,0,7,11,5,6,28,14,5,8,5,1,0,0,1,0,0
"184",1,4,1,1,21,16,14,9,14,9,9,5,1,3,0,0,1,0,0
"185",0,1,0,0,6,17,3,10,13,7,6,9,4,2,1,0,1,0,0
"186",0,0,0,0,13,7,8,3,5,11,5,2,0,3,0,0,0,1,0
"187",0,0,0,0,14,10,7,7,7,11,4,2,0,1,0,0,0,1,0
"188",2,1,1,0,11,5,5,3,14,11,7,4,2,3,0,1,0,0,1
"189",1,0,0,0,11,4,7,3,9,9,11,2,0,1,0,0,0,0,1
"190",2,2,1,0,11,13,6,3,14,9,4,3,2,1,0,0,0,1,0
"191",0,1,0,1,14,10,8,7,14,13,8,7,2,3,0,0,1,0,0
"192",3,0,2,0,10,8,6,5,6,10,8,2,1,4,0,0,0,0,1
"193",2,2,1,0,5,19,2,14,9,8,1,7,1,2,0,0,0,1,0
"194",1,5,1,2,10,17,7,12,7,11,4,9,2,1,0,0,1,0,0
"195",2,0,0,0,17,4,11,3,13,12,8,4,3,2,0,1,0,0,1
"196",2,1,0,1,15,8,7,5,10,13,8,4,3,3,0,1,0,0,1
"197",1,0,0,0,28,7,13,2,10,17,8,4,2,0,0,0,0,0,1
"198",0,1,0,0,8,7,3,3,11,8,9,5,1,2,0,0,1,0,0
"199",1,0,0,0,14,2,9,2,13,16,5,0,2,2,0,0,0,0,1
"200",2,1,2,0,21,9,13,6,12,17,10,7,1,1,0,0,0,0,1
"201",2,0,2,0,8,5,5,0,14,26,5,3,2,5,0,0,0,0,1
"202",1,1,1,0,9,10,3,5,11,13,2,7,0,4,0,0,0,1,0
"203",2,2,1,1,21,12,12,11,10,18,8,3,1,0,0,0,0,1,0
"204",0,0,0,0,5,7,0,3,10,10,4,5,2,2,0,0,0,1,0
"205",3,0,1,0,14,10,11,6,14,14,6,3,3,5,0,0,0,0,1
"206",1,0,0,0,13,6,5,3,13,13,8,3,3,3,0,0,0,0,1
"207",1,0,1,0,9,13,6,3,9,9,4,6,0,3,0,0,0,0,1
"208",3,0,0,0,9,10,4,3,13,10,2,5,2,3,0,1,0,0,1
"209",0,1,0,0,7,16,2,13,8,5,1,8,1,1,0,0,1,0,0
"210",2,1,0,0,37,4,22,1,6,16,10,4,0,3,0,0,0,0,1
"211",1,3,0,1,4,13,3,9,11,19,4,4,1,1,0,0,1,0,0
"212",1,0,0,0,10,15,3,6,12,16,2,11,1,4,1,0,0,0,1
"213",1,2,1,0,9,4,6,3,14,17,8,6,4,2,0,1,1,0,0
"214",3,0,1,0,12,9,8,3,13,4,5,3,0,2,0,1,0,0,1
"215",1,1,0,0,26,11,15,4,6,10,8,4,0,2,0,0,0,1,0
"216",3,1,1,1,11,9,7,5,13,17,3,3,1,3,0,0,0,0,1
"217",1,1,0,0,9,7,5,6,19,15,4,4,0,2,0,0,0,1,0
"218",0,1,0,1,17,9,8,2,9,10,17,5,2,2,1,0,1,0,0
"219",1,0,0,0,16,15,11,8,2,10,3,1,0,0,0,0,0,0,1
"220",3,1,3,0,22,6,14,3,19,21,7,4,2,3,0,0,0,0,1
"221",0,5,0,2,10,17,4,10,11,7,5,4,5,2,1,0,1,0,0
"222",2,2,0,2,15,9,12,5,12,14,6,4,3,4,0,0,0,1,0
"223",2,0,0,0,23,7,12,5,6,20,8,3,0,2,0,0,0,0,1
"224",1,1,0,0,7,7,3,4,9,11,7,6,2,2,0,0,0,1,0
"225",2,1,1,0,14,2,7,1,8,11,7,0,1,2,0,0,0,0,1
"226",2,0,1,0,25,15,13,12,11,15,11,5,0,1,0,0,0,0,1
"227",1,1,0,1,3,10,1,5,12,17,2,2,1,0,0,0,0,1,0
"228",0,0,0,0,15,2,8,2,12,12,13,3,2,2,0,0,0,1,0
"229",0,0,0,0,16,9,11,4,13,10,6,2,1,1,0,0,0,1,0
"230",3,2,1,0,13,13,7,10,11,14,2,8,0,1,0,0,0,0,1
"231",3,1,1,0,6,12,6,6,9,8,5,8,0,1,0,0,0,0,1
"232",2,2,1,0,16,13,12,7,13,12,8,6,2,4,0,0,0,1,0
"233",1,0,1,0,17,7,10,4,11,14,6,2,0,0,0,0,0,0,1
"234",0,0,0,0,7,15,4,10,9,16,3,9,0,4,0,0,0,1,0
"235",1,0,1,0,7,17,4,7,9,9,7,6,1,1,1,0,0,0,1
"236",2,0,0,0,21,4,15,1,20,15,12,1,4,3,0,1,0,0,1
"237",1,1,0,1,15,16,10,9,13,19,4,3,2,4,0,0,0,1,0
"238",0,2,0,1,17,15,8,8,11,9,4,13,2,0,0,0,1,0,0
"239",0,0,0,0,13,12,6,4,11,16,13,3,1,2,0,0,0,1,0
"240",3,0,1,0,20,7,11,4,7,17,8,4,1,1,0,0,0,0,1
"241",1,0,0,0,20,7,12,4,6,10,13,3,0,1,0,0,0,0,1
"242",2,3,0,0,9,14,7,9,10,9,2,4,1,0,0,0,1,0,0
"243",2,0,0,0,12,5,6,1,7,9,3,3,2,1,0,1,0,0,1
"244",2,3,1,3,13,10,7,7,7,11,3,4,2,2,0,0,1,0,0
"245",0,0,0,0,10,8,3,2,9,12,4,8,1,2,0,0,0,1,0
"246",0,0,0,0,16,4,6,1,14,14,6,4,1,2,0,1,0,1,0
"247",0,1,0,0,9,11,5,6,14,8,5,11,1,1,0,0,1,0,0
"248",2,0,0,0,15,10,9,7,12,8,8,2,1,3,0,0,0,0,1
"249",3,0,2,0,17,5,9,0,7,13,11,2,1,1,0,0,0,0,1
"250",0,0,0,0,16,3,9,2,6,12,8,3,2,2,0,0,0,1,0
"251",0,1,0,1,12,18,5,12,9,12,6,11,1,3,0,0,1,0,0
"252",2,1,2,0,12,17,8,12,18,14,4,13,0,2,0,0,0,0,1
"253",2,1,1,1,15,12,7,7,7,19,4,7,2,2,0,0,0,0,1
"254",0,0,0,0,6,12,3,6,6,15,5,1,2,4,0,0,0,1,0
"255",2,2,0,0,6,6,2,2,6,10,2,3,1,3,0,0,0,1,0
"256",2,0,0,0,19,8,9,5,11,10,12,4,0,1,0,0,0,0,1
"257",1,1,0,0,18,10,5,4,10,13,6,4,1,2,0,0,0,1,0
"258",0,0,0,0,4,15,0,5,15,15,0,6,0,1,1,0,0,1,0
"259",1,2,1,1,12,9,4,6,11,7,11,13,2,1,0,0,1,0,0
"260",0,0,0,0,16,12,8,3,6,14,11,6,0,0,0,0,0,1,0
"261",2,1,1,0,17,13,13,7,14,11,12,8,3,2,0,0,0,0,1
"262",2,0,1,0,11,17,6,9,9,14,3,6,1,1,0,0,0,0,1
"263",2,0,1,0,5,16,3,7,2,6,2,9,2,0,0,0,0,0,1
"264",2,2,1,0,11,7,7,3,7,12,6,6,1,1,0,0,0,1,0
"265",1,0,0,0,10,19,6,11,14,9,1,10,2,3,0,0,0,0,1
"266",1,2,0,2,9,8,5,6,14,19,6,4,2,3,1,1,1,0,0
"267",1,0,0,0,13,9,9,2,14,18,4,7,2,2,0,0,0,0,1
"268",2,0,0,0,22,5,12,2,9,6,6,2,1,1,0,0,0,0,1
"269",0,1,0,0,13,20,9,11,7,15,6,5,0,0,0,0,1,0,0
"270",1,3,1,3,8,16,4,8,19,14,3,4,4,0,0,0,1,0,0
"271",0,0,0,0,8,9,3,5,11,14,2,4,1,0,0,0,0,1,0
"272",0,1,0,0,17,10,9,3,11,14,13,5,3,1,0,0,1,0,0
"273",2,0,1,0,15,7,7,5,7,11,6,5,1,2,0,0,0,0,1
"274",1,2,1,1,9,11,6,9,10,10,3,10,2,2,0,0,1,0,0
"275",2,0,1,0,11,12,6,9,16,14,7,6,2,1,0,0,0,0,1
"276",4,0,3,0,12,15,7,6,7,6,4,8,0,1,0,0,0,0,1
"277",0,1,0,1,20,8,8,4,9,11,8,1,2,5,1,1,1,0,0
"278",1,1,1,0,8,13,3,8,17,9,4,1,3,2,0,0,0,1,0
"279",1,2,1,0,10,16,8,9,14,8,9,9,1,1,0,0,1,0,0
"280",4,0,1,0,18,7,12,3,8,14,7,4,0,4,0,0,0,0,1
"281",1,3,1,1,14,14,9,8,10,7,4,5,0,0,0,0,1,0,0
"282",3,1,2,0,17,10,13,5,7,12,4,9,0,1,0,0,0,0,1
"283",1,1,1,1,9,9,2,3,18,13,3,3,3,3,0,0,0,1,0
"284",1,4,1,2,14,9,9,6,14,15,10,3,2,3,1,0,1,0,0
"285",1,1,0,1,16,8,11,4,9,11,12,4,1,3,1,0,0,1,0
"286",1,2,1,2,7,9,3,5,8,11,6,2,0,1,0,0,1,0,0
"287",1,2,0,1,11,10,5,9,12,9,9,5,1,3,0,0,1,0,0
"288",1,0,1,0,18,6,6,3,7,8,4,3,0,2,0,0,0,0,1
"289",0,0,0,0,9,8,4,4,10,10,3,4,1,1,0,0,0,1,0
"290",1,1,0,1,15,6,11,2,14,9,6,1,2,1,0,0,0,1,0
"291",2,0,1,0,15,13,6,8,14,10,3,4,2,4,0,2,0,0,1
"292",1,3,0,0,11,15,8,10,12,12,8,4,0,1,0,0,1,0,0
"293",2,1,1,1,16,5,11,2,19,8,7,4,2,1,0,0,0,0,1
"294",1,0,0,0,10,17,4,8,18,13,5,4,4,1,0,0,0,0,1
"295",1,0,0,0,8,15,4,9,14,8,8,7,2,2,0,0,0,0,1
"296",1,1,0,0,11,14,4,11,10,12,8,4,2,1,0,0,0,1,0
"297",5,0,3,0,14,6,7,4,10,13,4,6,1,3,0,1,0,0,1
"298",1,0,0,0,18,6,10,5,16,12,7,7,3,6,0,1,0,0,1
"299",1,0,0,0,16,8,6,2,14,13,5,4,1,3,0,0,0,0,1
"300",2,0,1,0,17,9,9,4,11,9,7,2,1,3,0,0,0,0,1
"301",2,1,0,1,11,9,6,3,13,9,4,7,1,1,0,1,0,0,1
"302",4,1,2,1,16,19,9,4,20,14,7,5,2,1,0,0,0,0,1
"303",0,1,0,0,3,19,1,10,8,10,3,6,2,2,0,0,1,0,0
"304",0,0,0,0,9,7,1,2,13,14,1,4,0,2,0,1,0,1,0
"305",0,2,0,0,6,16,4,10,7,17,4,6,0,2,0,0,1,0,0
"306",0,2,0,1,12,9,9,6,10,10,6,3,2,1,0,0,1,0,0
"307",2,0,1,0,16,14,11,9,10,7,11,8,1,1,0,0,0,0,1
"308",4,0,1,0,14,14,10,8,17,11,1,4,0,3,0,0,0,0,1
"309",3,2,1,1,14,8,9,8,11,15,8,4,1,2,0,0,0,0,1
"310",4,3,1,0,20,14,9,6,11,17,8,4,0,0,0,0,0,0,1
"311",4,0,2,0,22,7,12,5,6,13,7,2,2,1,0,0,0,0,1
"312",3,1,2,1,15,12,9,6,15,16,3,3,3,3,0,0,0,0,1
"313",2,2,1,0,14,12,4,7,16,10,4,2,3,1,0,0,0,1,0
"314",1,1,1,0,17,8,6,2,14,11,8,4,4,2,0,0,0,1,0
"315",1,2,0,1,12,18,7,8,6,3,5,4,1,2,0,0,1,0,0
"316",1,0,0,0,14,8,9,6,9,12,10,1,1,4,0,0,0,0,1
"317",1,4,1,0,11,15,5,8,15,16,6,5,3,3,0,0,1,0,0
"318",3,3,1,2,15,10,8,6,9,15,11,7,0,2,0,0,0,1,0
"319",1,3,1,0,13,15,5,11,9,8,8,3,0,1,0,0,1,0,0
"320",1,1,1,0,17,18,7,9,9,10,12,11,2,3,0,0,0,1,0
"321",0,0,0,0,18,11,14,6,10,14,9,1,3,1,0,0,0,1,0
"322",1,0,0,0,20,5,10,1,11,14,6,5,2,4,0,0,0,0,1
"323",1,0,0,0,6,3,2,1,11,4,4,6,3,1,0,0,0,0,1
"324",1,0,1,0,8,13,4,3,11,23,6,6,2,3,0,0,0,0,1
"325",4,2,2,1,18,26,11,17,18,14,3,9,1,2,0,0,0,0,1
"326",1,0,1,0,22,8,18,3,13,15,4,7,1,2,0,0,0,0,1
"327",4,4,0,1,22,8,15,4,10,12,12,0,0,1,0,0,0,1,0
"328",0,0,0,0,18,14,6,5,9,10,4,6,0,1,0,0,0,1,0
"329",2,0,1,0,20,5,14,1,10,8,6,2,1,0,0,0,0,0,1
"330",1,1,0,1,9,14,6,6,12,9,4,5,0,1,0,0,0,1,0
"331",1,2,0,1,12,16,4,10,12,14,5,3,1,3,0,0,1,0,0
"332",1,0,1,0,10,9,7,2,8,11,5,7,1,2,0,0,0,0,1
"333",1,3,0,1,7,21,5,8,15,14,3,8,3,1,1,0,1,0,0
"334",5,2,0,2,21,6,14,4,14,10,6,2,3,3,0,0,0,0,1
"335",3,0,1,0,15,9,9,5,9,14,6,3,0,1,0,0,0,0,1
"336",0,1,0,0,8,20,6,8,9,11,3,5,1,0,0,0,1,0,0
"337",2,0,1,0,15,5,11,4,8,13,8,1,0,0,0,0,0,0,1
"338",2,0,1,0,14,17,8,8,11,11,3,9,0,0,0,0,0,0,1
"339",0,0,0,0,13,15,8,7,13,8,7,10,2,2,0,0,0,1,0
